# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
9104,商船三井,2026-03-09,2026-04-27,33,false,5950.0000,5950.0000,5761.0000,5773.0000,4504600,2026-05-07,37,4,true,false,-5.7008,2.9748,0.8649,0.9019,0.0635,true
9104,商船三井,2026-03-09,2026-04-30,35,false,6000.0000,6127.0000,5765.0000,5935.0000,7661200,2026-05-07,37,2,false,false,-0.5029,1.0833,0.3032,1.5194,0.4696,true
9104,商船三井,2026-03-09,2026-05-08,38,false,5796.0000,5810.0000,5676.0000,5774.0000,3681700,2026-05-22,48,10,true,false,-1.6354,0.3796,0.1025,0.7712,0.7313,true
9104,商船三井,2026-03-09,2026-05-18,44,false,5861.0000,5942.0000,5823.0000,5851.0000,2312700,2026-05-19,45,1,false,false,-0.2047,0.1706,0.0455,0.5946,0.2353,true
9104,商船三井,2026-03-09,2026-05-19,45,false,5839.0000,5888.0000,5813.0000,5824.0000,2194000,2026-05-20,46,1,false,false,-0.4615,0.2569,0.0720,0.6146,0.1467,true
9104,商船三井,2026-03-09,2026-05-21,47,false,5827.0000,5828.0000,5703.0000,5709.0000,2182800,2026-05-22,48,1,false,false,-1.4840,2.0251,0.6265,0.6543,0.0480,true
9104,商船三井,2026-03-25,2026-03-31,3,true,6750.0000,6799.0000,6496.0000,6496.0000,5733700,2026-04-01,4,1,false,false,-3.9480,3.7630,0.7898,0.8098,0.0000,true
9104,商船三井,2026-03-25,2026-04-02,5,false,6787.0000,6842.0000,6481.0000,6603.0000,7006300,2026-04-10,11,6,true,true,1.6159,2.7111,0.5453,0.9476,0.3380,true
9104,商船三井,2026-03-25,2026-04-03,6,false,6801.0000,6808.0000,6667.0000,6766.0000,4470300,2026-04-08,9,3,true,true,2.4686,0.5146,0.1024,0.6138,0.7021,true
9104,商船三井,2026-03-25,2026-04-08,9,false,6890.0000,6912.0000,6556.0000,6593.0000,10196700,2026-04-10,11,2,false,false,-4.0320,4.3106,0.9898,1.4659,0.1039,true
9104,商船三井,2026-03-25,2026-04-09,10,false,6655.0000,6716.0000,6580.0000,6631.0000,5595300,2026-04-10,11,1,false,false,0.5764,0.3606,0.0844,0.8123,0.3750,true
9104,商船三井,2026-03-25,2026-04-10,11,false,6600.0000,6604.0000,6423.0000,6473.0000,5396300,2026-04-13,12,1,false,false,-2.3827,1.9242,0.4980,0.7874,0.2762,true
9104,商船三井,2026-03-25,2026-04-13,12,false,6500.0000,6596.0000,6382.0000,6387.0000,4063300,2026-04-14,13,1,false,false,-1.3286,1.7385,0.4406,0.5937,0.0234,true
9104,商船三井,2026-03-25,2026-04-15,14,false,6434.0000,6448.0000,6231.0000,6362.0000,4716800,2026-04-20,17,3,false,false,-0.7179,1.1191,0.2953,0.6988,0.6037,true
9104,商船三井,2026-03-25,2026-04-17,16,false,6394.0000,6419.0000,6305.0000,6307.0000,2317900,2026-04-20,17,1,false,false,-1.1442,1.3607,0.3841,0.3512,0.0175,true
9104,商船三井,2026-03-25,2026-04-20,17,false,6252.0000,6284.0000,6090.0000,6106.0000,3467600,,,,false,false,-3.1869,2.3353,0.6626,0.5274,0.0825,true
464A,QPSホールディングス,2026-04-17,2026-04-20,0,true,2675.0000,2740.0000,2596.0000,2659.0000,2674500,2026-04-23,3,3,true,true,0.4533,0.5981,0.0924,0.9398,0.4375,true
464A,QPSホールディングス,2026-04-17,2026-04-22,2,false,2783.0000,2793.0000,2652.0000,2669.0000,2316600,2026-04-23,3,1,false,false,-2.9455,4.0963,0.6982,0.8025,0.1206,true
464A,QPSホールディングス,2026-04-17,2026-04-23,3,false,2686.0000,2726.0000,2501.0000,2582.0000,2098400,2026-04-24,4,1,false,false,-3.2596,3.8719,0.6057,0.7607,0.3600,true
6361,荏原,2026-04-20,2026-04-21,0,true,5165.5724,5177.5090,5086.9896,5109.8682,1813400,2026-05-20,17,17,true,true,0.1169,1.0784,0.2531,0.6059,0.2527,true
6361,荏原,2026-04-20,2026-04-23,2,false,5361.5317,5371.4788,5195.4137,5280.9595,3450000,2026-05-19,16,14,true,true,-2.9611,1.5028,0.3514,1.0977,0.4859,true
6361,荏原,2026-04-20,2026-04-24,3,false,5432.1566,5432.1566,5241.1707,5275.9858,2647100,2026-04-27,4,1,false,false,-0.0942,2.8749,0.6665,0.8457,0.1823,true
6361,荏原,2026-04-20,2026-04-28,5,false,5485.8715,5533.6180,5393.3627,5394.3574,4089500,2026-04-30,6,1,false,false,-0.4223,1.6682,0.4268,1.2983,0.0071,true
6361,荏原,2026-04-20,2026-04-30,6,false,5493.8290,5508.7498,5244.1548,5298.8643,3556400,2026-05-01,7,1,false,false,-1.7702,3.5488,0.8708,1.1262,0.2068,true
6361,荏原,2026-04-20,2026-05-01,7,false,5314.7800,5327.7114,5214.3135,5214.3135,1790600,2026-05-19,16,9,true,true,-1.5956,1.8903,0.4701,0.5713,0.0000,true
6361,荏原,2026-04-20,2026-05-12,11,false,5913.6006,6040.9246,5766.3823,5810.1499,2567100,2026-05-13,12,1,false,false,-1.0335,1.7494,0.3995,0.8421,0.1594,true
6361,荏原,2026-04-20,2026-05-14,13,false,5766.3821,5863.8645,5696.7518,5698.7412,3227300,2026-05-15,14,1,false,false,-0.1916,1.1730,0.2697,1.0541,0.0119,true
6361,荏原,2026-04-20,2026-05-15,14,false,5788.2658,5860.8802,5416.2412,5503.7764,5374800,2026-05-18,15,1,false,false,-3.4212,4.9149,1.0304,1.6687,0.1969,true
6361,荏原,2026-04-20,2026-05-18,15,false,5503.7762,5620.1582,5251.1178,5320.7480,4428300,2026-05-19,16,1,false,false,-3.3255,3.3255,0.6566,1.3346,0.1887,true
